Heuristics: TotalHeight Bumpiness NumHoles RowsCleared,Fitness Function = rowsCleared, 30 particles 100 iterations
2018-04-11 00:44:33,2018-04-11 00:44:34,320
2018-04-11 00:44:34,2018-04-11 00:44:35,330
2018-04-11 00:44:35,2018-04-11 00:44:36,402
2018-04-11 00:44:36,2018-04-11 00:44:36,168
2018-04-11 00:44:36,2018-04-11 00:44:37,183
2018-04-11 00:44:37,2018-04-11 00:44:38,295
2018-04-11 00:44:38,2018-04-11 00:44:38,109
2018-04-11 00:44:38,2018-04-11 00:44:38,200
2018-04-11 00:44:38,2018-04-11 00:44:44,2381
2018-04-11 00:44:44,2018-04-11 00:44:45,353
2018-04-11 00:44:45,2018-04-11 00:44:46,81
2018-04-11 00:44:46,2018-04-11 00:44:47,347
2018-04-11 00:44:47,2018-04-11 00:44:49,699
2018-04-11 00:44:49,2018-04-11 00:44:52,1265
2018-04-11 00:44:52,2018-04-11 00:44:54,547
2018-04-11 00:44:54,2018-04-11 00:44:56,948
2018-04-11 00:44:56,2018-04-11 00:44:58,551
2018-04-11 00:44:58,2018-04-11 00:45:02,1274
2018-04-11 00:45:02,2018-04-11 00:45:03,500
2018-04-11 00:45:03,2018-04-11 00:45:10,2467
2018-04-11 00:45:10,2018-04-11 00:45:12,814
2018-04-11 00:45:12,2018-04-11 00:45:13,439
2018-04-11 00:45:13,2018-04-11 00:45:15,866
2018-04-11 00:45:15,2018-04-11 00:45:17,557
2018-04-11 00:45:17,2018-04-11 00:45:19,668
2018-04-11 00:45:19,2018-04-11 00:45:23,1408
2018-04-11 00:45:23,2018-04-11 00:45:24,496
2018-04-11 00:45:24,2018-04-11 00:45:25,282
2018-04-11 00:45:25,2018-04-11 00:45:25,121
2018-04-11 00:45:25,2018-04-11 00:45:27,537
2018-04-11 00:45:27,2018-04-11 00:45:27,343
2018-04-11 00:45:27,2018-04-11 00:45:28,43
2018-04-11 00:45:28,2018-04-11 00:45:29,349
2018-04-11 00:45:29,2018-04-11 00:45:34,1908
2018-04-11 00:45:34,2018-04-11 00:45:35,502
2018-04-11 00:45:35,2018-04-11 00:45:35,79
2018-04-11 00:45:35,2018-04-11 00:45:37,376
2018-04-11 00:45:37,2018-04-11 00:45:38,538
2018-04-11 00:45:38,2018-04-11 00:45:38,96
2018-04-11 00:45:38,2018-04-11 00:45:44,2065
2018-04-11 00:45:44,2018-04-11 00:45:44,51
